deal_id,funded_amount,funded_date,industry_id
a4Gf1000000nS5ZEAU,175000,4/3/2020,3
a4Gf1000000nS5jEAE,3800,5/21/2019,3
a4Gf1000000nS5nEAE,6600,9/25/2020,3
a4Gf1000000nS5pEAE,13000,4/27/2020,4
a4Gf1000000nS5uEAE,5600,3/14/2020,3
a4Gf1000000nS5vEAE,180000,8/12/2018,3
a4Gf1000000nS64EAE,35000,6/25/2019,1
a4Gf1000000nS6CEAU,45000,3/17/2019,1
a4Gf1000000nS6IEAU,20000,1/1/2018,1
a4Gf1000000nS6JEAU,3900,1/20/2019,4
a4Gf1000000nS6KEAU,8800,4/19/2020,4
a4Gf1000000nS6LEAU,8000,10/3/2020,2
a4Gf1000000nS6gEAE,3800,10/23/2020,2
a4Gf1000000nS6oEAE,10000,12/6/2020,1
a4Gf1000000nS6qEAE,8000,3/20/2020,4
a4Gf1000000nS6rEAE,3500,2/1/2019,1
a4Gf1000000nS6sEAE,25000,7/26/2019,1
a4Gf1000000nS6xEAE,8800,11/22/2020,3
a4Gf1000000nS73EAE,30000,9/27/2020,3
a4Gf1000000nS74EAE,9000,1/27/2020,2
a4Gf1000000nS7AEAU,85000,1/1/2020,1
a4Gf1000000nS7JEAU,8800,6/9/2018,4
a4Gf1000000nS7MEAU,12000,10/3/2018,3
a4Gf1000000nS7WEAU,22000,9/26/2020,1
a4Gf1000000nS7fEAE,7500,6/6/2018,3
a4Gf1000000nS7iEAE,6500,6/19/2020,3
a4Gf1000000nS7mEAE,4500,5/23/2019,3
a4Gf1000000nS7nEAE,5200,6/26/2019,3
a4Gf1000000nSL5EAM,7000,10/10/2019,1
a4Gf1000000nSLFEA2,8800,8/23/2020,1
a4Gf1000000nSLLEA2,12500,2/16/2020,2
a4Gf1000000nSLMEA2,16000,6/3/2019,1
a4Gf1000000nSLSEA2,2500,10/17/2018,2
a4Gf1000000nSLVEA2,4000,6/14/2020,4
a4Gf1000000nSLXEA2,13000,12/14/2020,3
a4Gf1000000nSLeEAM,17000,8/12/2020,3
